name,institution,attemptsForA,timeForA,attemptsForB,timeForB,attemptsForC,timeForC,attemptsForD,timeForD,attemptsForE,timeForE,attemptsForF,timeForF,attemptsForG,timeForG,attemptsForH,timeForH,attemptsForI,timeForI,attemptsForJ,timeForJ,attemptsForK,timeForK,attemptsForL,timeForL
MathJuniors,"BEGUM ROKEYA UNIVERSITY, RANGPUR",0,,0,,0,,1,,0,,0,,4,35,0,,1,23,1,119,0,,0,
NDUB_Backslash,NOTRE DAME UNIVERSITY BANGLADESH,0,,0,,0,,0,,0,,0,,4,,0,,3,,0,,0,,0,
NEUB_Believers,NORTH EAST UNIVERSITY BANGLADESH,0,,0,,0,,0,,0,,0,,2,82,0,,1,52,0,,0,,0,
NEUB_NerdSquad,NORTH EAST UNIVERSITY BANGLADESH,0,,0,,0,,0,,0,,0,,12,153,0,,2,118,4,,0,,0,
NSTU_DOT,NOAKHALI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,0,,0,,0,,15,,0,,1,53,1,,0,,0,
NSTU_LastDare,NOAKHALI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,5,,3,,0,,0,,5,63,0,,1,31,1,225,0,,0,
NSTU_Script_Kiddies,NOAKHALI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,0,,0,,0,,4,106,0,,1,31,0,,0,,0,
NSU_CyanCubed,NORTH SOUTH UNIVERSITY,0,,0,,3,,2,,0,,0,,2,29,0,,1,20,0,,0,,0,
NSU_PyramidSchemers,NORTH SOUTH UNIVERSITY,2,,0,,0,,3,,0,,0,,5,45,0,,1,19,2,97,0,,0,
NSU_TeamAseh,NORTH SOUTH UNIVERSITY,0,,0,,0,,1,,0,,0,,3,81,0,,2,94,3,197,0,,0,
NSU_Veritasium,NORTH SOUTH UNIVERSITY,0,,0,,0,,6,,0,,0,,2,33,0,,1,13,4,187,0,,0,
NUBTK_Atomic,NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY KHULNA,0,,0,,0,,0,,0,,0,,12,,0,,0,,0,,0,,0,
NUB_Triverse,NORTHERN UNIVERSITY BANGLADESH,0,,0,,0,,0,,0,,0,,5,122,0,,2,100,0,,0,,0,
NWU_Dreamers,"NORTH WESTERN UNIVERSITY, KHULNA",0,,0,,0,,0,,0,,0,,4,35,0,,1,32,2,,0,,0,
NWU_Sigma,"NORTH WESTERN UNIVERSITY, KHULNA",0,,0,,0,,0,,0,,0,,1,,0,,1,,0,,0,,0,
NothingToLose,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,4,36,0,,1,50,5,221,0,,0,
Orimura,BANGLADESH UNIVERSITY OF PROFESSIONALS,0,,0,,0,,0,,0,,0,,6,,0,,4,245,0,,0,,0,
PAU_TriCoders,PRIMEASIA UNIVERSITY,0,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,,0,
PCIU_BitRangers,PORT CITY INTERNATIONAL UNIVERSITY,0,,0,,0,,0,,0,,0,,3,95,0,,1,29,2,144,0,,0,
PSTU : Returned From Breaking Point,PATUAKHALI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,2,229,0,,0,,3,77,0,,1,17,1,147,0,,0,
PSTU_Array_Of_Hope,PATUAKHALI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,0,,0,,0,,12,,0,,2,43,0,,0,,0,
PSTU_ConfusingStatement,PATUAKHALI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,0,,0,,0,,5,180,0,,3,81,0,,0,,0,
PUB_Bit_Trackers,PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,2,,0,,3,,0,,0,,0,
PUC_Hacking_Trio,PREMIER UNIVERSITY CHITTAGONG,0,,0,,0,,0,,0,,0,,4,63,0,,1,72,1,238,0,,0,
PUC_semicolon;,PREMIER UNIVERSITY CHITTAGONG,0,,0,,0,,0,,0,,0,,4,250,0,,1,176,0,,0,,0,
PUST_Codo_Sapiens,PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,17,,0,,2,43,0,,0,,0,
PUST_RESTART,PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,6,105,0,,3,71,6,284,0,,0,
Pixel_Ninjas,INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,0,,0,,0,,0,,0,,0,,7,298,0,,2,127,0,,0,,0,
PrimeU_HackShield,PRIME UNIVERSITY,0,,0,,0,,0,,0,,0,,1,,0,,2,,0,,0,,0,
PrimeU_StuckOnNewbie,PRIME UNIVERSITY,0,,0,,0,,0,,0,,0,,12,,0,,1,36,8,,0,,0,
RPI_Starter,RANGPUR POLYTECHNIC INSTITUTE,0,,0,,0,,0,,0,,0,,9,,0,,2,58,0,,0,,0,
RPSU_Ternary_Troopers,R. P. SHAHA UNIVERSITY,0,,0,,0,,0,,0,,0,,3,108,0,,1,59,6,270,0,,0,
RUET_B_Team,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,1,,10,176,3,132,3,,0,,3,25,0,,1,12,2,96,0,,0,
RUET_Byte_Breakers,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,0,,0,,0,,0,,9,,0,,1,31,3,,0,,0,
RUET_Codebreakers,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,0,,0,,0,,0,,4,105,0,,1,42,1,182,0,,0,
RUET_CrossGuild,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,0,,3,,0,,0,,5,68,0,,1,26,1,110,0,,0,
RUET_a_bit_slower,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,2,,3,240,0,,0,,1,20,0,,1,13,2,212,0,,0,
RU_CoPrime,UNIVERSITY OF RAJSHAHI,0,,0,,0,,3,,0,,0,,4,119,0,,2,55,1,210,0,,0,
RU_DarkSoul$,UNIVERSITY OF RAJSHAHI,0,,0,,9,,1,,1,,0,,1,20,0,,1,12,1,103,0,,0,
RU_Pegasus,UNIVERSITY OF RAJSHAHI,0,,0,,2,,8,,0,,0,,6,89,0,,1,25,1,56,0,,0,
RU_Phantoms,UNIVERSITY OF RAJSHAHI,0,,0,,0,,4,285,0,,0,,1,26,0,,1,33,2,,0,,0,
RU_S_Cube,UNIVERSITY OF RAJSHAHI,0,,0,,0,,1,212,0,,0,,1,39,0,,2,20,3,83,0,,0,
RU_TitaLeague,UNIVERSITY OF RAJSHAHI,0,,0,,0,,0,,0,,0,,3,97,0,,5,128,3,,0,,0,
Rebooters,SHEIKH HASINA UNIVERSITY,0,,0,,0,,3,,0,,0,,3,62,0,,2,71,4,198,0,,0,
RecursiveRoot,CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,0,,0,,0,,4,,0,,0,,1,14,0,,1,23,1,256,0,,0,
Runtime_Error,CHITTAGONG INDEPENDENT UNIVERSITY,0,,0,,0,,0,,0,,0,,1,,0,,3,,0,,0,,0,
